"SECONDS";"PID";"VALUE";"UNITS";
"32449.45718";"Speed (GPS)";"0";"km/h";
"32449.46618";"Altitude (GPS)";"3.89999985694885";"m";
"32449.46618";"Average speed (GPS)";"0.906363588484979";"km/h";
"32449.46618";"Speed (GPS)";"0.00521063692867756";"km/h";
"32449.93318";"Altitude (GPS)";"3.89999985694885";"m";
"32449.93318";"Average speed (GPS)";"0.90547468978627";"km/h";
"32449.93318";"Speed (GPS)";"0";"km/h";
"32450.45618";"Altitude (GPS)";"6.07608032226563";"m";
"32450.45618";"Average speed (GPS)";"0.904482388768851";"km/h";
"32450.45618";"Speed (GPS)";"0";"km/h";
"32450.46218";"Altitude (GPS)";"3.89999985694885";"m";
"32450.46218";"Average speed (GPS)";"0.904477127383372";"km/h";
"32450.46218";"Speed (GPS)";"0.516897189617157";"km/h";
"32451.45518";"Altitude (GPS)";"6.07232666015625";"m";
"32451.45518";"Average speed (GPS)";"0.902598649858711";"km/h";
"32451.45518";"Speed (GPS)";"0";"km/h";
"32451.46318";"Altitude (GPS)";"3.89999985694885";"m";
"32451.46318";"Average speed (GPS)";"0.902590154598854";"km/h";
"32451.46318";"Speed (GPS)";"0.420927160978317";"km/h";
"32452.45318";"Altitude (GPS)";"6.0670166015625";"m";
"32452.45318";"Average speed (GPS)";"0.900723570988295";"km/h";
"32452.45318";"Speed (GPS)";"0";"km/h";
"32452.46218";"Altitude (GPS)";"3.89999985694885";"m";
"32452.46218";"Average speed (GPS)";"0.90071096401849";"km/h";
"32452.46218";"Speed (GPS)";"0.233284351229668";"km/h";
"32453.45718";"Altitude (GPS)";"6.05987548828125";"m";
"32453.45718";"Average speed (GPS)";"0.898844738253068";"km/h";
"32453.45718";"Speed (GPS)";"0";"km/h";
"32453.45918";"Altitude (GPS)";"3.89999985694885";"m";
"32453.45918";"Average speed (GPS)";"0.898841235128018";"km/h";
"32453.45918";"Speed (GPS)";"0.0870695404708385";"km/h";
"32454.45218";"Altitude (GPS)";"6.05081176757813";"m";
"32454.45218";"Average speed (GPS)";"0.896985135118112";"km/h";
"32454.45218";"Speed (GPS)";"0";"km/h";
"32454.46118";"Altitude (GPS)";"3.89999985694885";"m";
"32454.46118";"Average speed (GPS)";"0.896969449773074";"km/h";
"32454.46118";"Speed (GPS)";"0.0219969369471073";"km/h";
"32454.95418";"Altitude (GPS)";"3.89999985694885";"m";
"32454.95418";"Average speed (GPS)";"0.896049875067947";"km/h";
"32454.95418";"Speed (GPS)";"0";"km/h";
"32455.45118";"Altitude (GPS)";"6.01632690429688";"m";
"32455.45118";"Average speed (GPS)";"0.895125682696774";"km/h";
"32455.45118";"Speed (GPS)";"0";"km/h";
"32455.45518";"Altitude (GPS)";"3.89999985694885";"m";
"32455.45518";"Average speed (GPS)";"0.895133943004894";"km/h";
"32455.45518";"Speed (GPS)";"1.99083037376404";"km/h";
"32456.45618";"Altitude (GPS)";"6.0103759765625";"m";
"32456.45618";"Average speed (GPS)";"0.893278850368809";"km/h";
"32456.45618";"Speed (GPS)";"0";"km/h";
"32456.46418";"Altitude (GPS)";"3.89999985694885";"m";
"32456.46418";"Altitude (GPS)";"3.89999985694885";"m";
"32456.46418";"Average speed (GPS)";"0.893290601172917";"km/h";
"32456.46418";"Average speed (GPS)";"0.893291064659926";"km/h";
"32456.46418";"Speed (GPS)";"1.57361040115356";"km/h";
"32456.46418";"Speed (GPS)";"1.57361040115356";"km/h";
"32457.44918";"Altitude (GPS)";"6.00271606445313";"m";
"32457.44918";"Average speed (GPS)";"0.891473817290733";"km/h";
"32457.44918";"Speed (GPS)";"0";"km/h";
"32457.46418";"Altitude (GPS)";"3.89999985694885";"m";
"32457.46418";"Average speed (GPS)";"0.891472222656514";"km/h";
"32457.46418";"Speed (GPS)";"0.84020020365715";"km/h";
"32458.45818";"Altitude (GPS)";"5.9952392578125";"m";
"32458.45818";"Average speed (GPS)";"0.889644809510125";"km/h";
"32458.45818";"Speed (GPS)";"0";"km/h";
"32458.46418";"Altitude (GPS)";"3.89999985694885";"m";
"32458.46418";"Average speed (GPS)";"0.889637847995356";"km/h";
"32458.46418";"Speed (GPS)";"0.347878378629684";"km/h";
"32459.45518";"Altitude (GPS)";"5.98794555664063";"m";
"32459.45518";"Average speed (GPS)";"0.887822509595087";"km/h";
"32459.45518";"Speed (GPS)";"0";"km/h";
"32459.46018";"Altitude (GPS)";"3.89999985694885";"m";
"32459.46018";"Average speed (GPS)";"0.887815390427117";"km/h";
"32459.46018";"Speed (GPS)";"0.106945446878672";"km/h";
"32459.96018";"Altitude (GPS)";"3.89999985694885";"m";
"32459.96018";"Altitude (GPS)";"3.89999985694885";"m";
"32459.96018";"Average speed (GPS)";"0.886902227591641";"km/h";
"32459.96018";"Average speed (GPS)";"0.886901702465183";"km/h";
"32459.96018";"Speed (GPS)";"0";"km/h";
"32459.96018";"Speed (GPS)";"0";"km/h";
"32460.45218";"Altitude (GPS)";"5.96926879882813";"m";
"32460.45218";"Average speed (GPS)";"0.88600554027988";"km/h";
"32460.45218";"Speed (GPS)";"0";"km/h";
"32460.45618";"Altitude (GPS)";"3.89999985694885";"m";
"32460.45618";"Average speed (GPS)";"0.886025268888181";"km/h";
"32460.45618";"Speed (GPS)";"3.75518274307251";"km/h";
"32460.45718";"Altitude (GPS)";"3.89999985694885";"m";
"32460.45718";"Average speed (GPS)";"0.88603353030963";"km/h";
"32460.45718";"Speed (GPS)";"3.75518274307251";"km/h";
"32461.44918";"Altitude (GPS)";"5.96194458007813";"m";
"32461.44918";"Average speed (GPS)";"0.884231952514444";"km/h";
"32461.44918";"Speed (GPS)";"0";"km/h";
"32461.45818";"Altitude (GPS)";"3.89999985694885";"m";
"32461.45818";"Average speed (GPS)";"0.884278947584298";"km/h";
"32461.45818";"Speed (GPS)";"3.40615911483765";"km/h";
"32462.44918";"Altitude (GPS)";"5.9515380859375";"m";
"32462.44918";"Average speed (GPS)";"0.882487938720095";"km/h";
"32462.44918";"Speed (GPS)";"0";"km/h";
"32462.46518";"Altitude (GPS)";"3.89999985694885";"m";
"32462.46518";"Altitude (GPS)";"3.89999985694885";"m";
"32462.46518";"Average speed (GPS)";"0.882527536661493";"km/h";
"32462.46518";"Average speed (GPS)";"0.882528930274436";"km/h";
"32462.46518";"Speed (GPS)";"2.06956779956818";"km/h";
"32462.46518";"Speed (GPS)";"2.06956779956818";"km/h";
"32463.44718";"Altitude (GPS)";"5.94284057617188";"m";
"32463.44718";"Average speed (GPS)";"0.880761187614426";"km/h";
"32463.44718";"Speed (GPS)";"0";"km/h";
"32463.45318";"Altitude (GPS)";"3.89999985694885";"m";
"32463.45318";"Average speed (GPS)";"0.880762414551803";"km/h";
"32463.45318";"Speed (GPS)";"0.984342384338379";"km/h";
"32464.45718";"Average speed (GPS)";"0.87895938065854";"km/h";
"32464.45718";"Speed (GPS)";"0";"km/h";
"32464.45818";"Altitude (GPS)";"5.93789672851563";"m";
"32464.46618";"Altitude (GPS)";"3.89999985694885";"m";
"32464.46618";"Average speed (GPS)";"0.878950397039449";"km/h";
"32464.46618";"Speed (GPS)";"0.358948016166687";"km/h";
"32465.00118";"Altitude (GPS)";"3.89999985694885";"m";
"32465.00118";"Average speed (GPS)";"0.877993182627849";"km/h";
"32465.00118";"Speed (GPS)";"0";"km/h";
"32465.00418";"Altitude (GPS)";"3.89999985694885";"m";
"32465.00418";"Average speed (GPS)";"0.87798728177198";"km/h";
"32465.00418";"Speed (GPS)";"0";"km/h";
"32465.45418";"Altitude (GPS)";"5.9041748046875";"m";
"32465.45418";"Average speed (GPS)";"0.87718559634911";"km/h";
"32465.45418";"Speed (GPS)";"0";"km/h";
"32465.45718";"Altitude (GPS)";"3.89999985694885";"m";
"32465.45718";"Altitude (GPS)";"3.89999985694885";"m";
"32465.45718";"Average speed (GPS)";"0.877200612956672";"km/h";
"32465.45718";"Average speed (GPS)";"0.87720253541743";"km/h";
"32465.45718";"Speed (GPS)";"3.25925409793854";"km/h";
"32465.45718";"Speed (GPS)";"3.25925409793854";"km/h";
"32466.45018";"Altitude (GPS)";"5.90042114257813";"m";
"32466.45018";"Average speed (GPS)";"0.875434866432184";"km/h";
"32466.45018";"Speed (GPS)";"0";"km/h";
"32466.46118";"Altitude (GPS)";"3.89999985694885";"m";
"32466.46118";"Average speed (GPS)";"0.875473592087316";"km/h";
"32466.46118";"Speed (GPS)";"2.60523819923401";"km/h";
"32467.46418";"Altitude (GPS)";"5.89566040039063";"m";
"32467.46418";"Average speed (GPS)";"0.873695939909185";"km/h";
"32467.46418";"Speed (GPS)";"0";"km/h";
"32467.46618";"Altitude (GPS)";"3.89999985694885";"m";
"32467.46618";"Average speed (GPS)";"0.873697804882104";"km/h";
"32467.46618";"Speed (GPS)";"1.40217733383179";"km/h";
"32468.46218";"Altitude (GPS)";"5.88861083984375";"m";
"32468.46218";"Average speed (GPS)";"0.871939103587132";"km/h";
"32468.46218";"Speed (GPS)";"0";"km/h";
"32468.46718";"Altitude (GPS)";"3.89999985694885";"m";
"32468.46718";"Average speed (GPS)";"0.8719363914387";"km/h";
"32468.46718";"Speed (GPS)";"0.586648410558701";"km/h";
"32469.45718";"Altitude (GPS)";"5.8809814453125";"m";
"32469.45718";"Average speed (GPS)";"0.870196087535365";"km/h";
"32469.45718";"Speed (GPS)";"0";"km/h";
"32469.46618";"Altitude (GPS)";"3.89999985694885";"m";
"32469.46618";"Average speed (GPS)";"0.870183444385628";"km/h";
"32469.46618";"Speed (GPS)";"0.182549750804901";"km/h";
"32470.02818";"Altitude (GPS)";"3.89999985694885";"m";
"32470.02818";"Average speed (GPS)";"0.869198781568529";"km/h";
"32470.02818";"Speed (GPS)";"0";"km/h";
"32470.45118";"Altitude (GPS)";"5.84988403320313";"m";
"32470.45118";"Average speed (GPS)";"0.868457713986414";"km/h";
"32470.45118";"Speed (GPS)";"0";"km/h";
"32470.46418";"Altitude (GPS)";"3.89999985694885";"m";
"32470.46418";"Average speed (GPS)";"0.868444371922505";"km/h";
"32470.46418";"Speed (GPS)";"0.351104459166527";"km/h";
"32471.45018";"Altitude (GPS)";"5.84573364257813";"m";
"32471.45018";"Average speed (GPS)";"0.8667242918881";"km/h";
"32471.45018";"Speed (GPS)";"0";"km/h";
"32471.46118";"Altitude (GPS)";"3.89999985694885";"m";
"32471.46118";"Average speed (GPS)";"0.866711625763023";"km/h";
"32471.46118";"Speed (GPS)";"0.295109322667122";"km/h";
"32472.45318";"Altitude (GPS)";"5.84066772460938";"m";
"32472.45318";"Average speed (GPS)";"0.864988328642974";"km/h";
"32472.45318";"Speed (GPS)";"0";"km/h";
"32472.46618";"Altitude (GPS)";"3.89999985694885";"m";
"32472.46618";"Average speed (GPS)";"0.864970625730713";"km/h";
"32472.46618";"Speed (GPS)";"0.164901620149612";"km/h";
"32473.45618";"Altitude (GPS)";"5.83624267578125";"m";
"32473.45618";"Average speed (GPS)";"0.863257104276277";"km/h";
"32473.45618";"Speed (GPS)";"0";"km/h";
"32473.46218";"Altitude (GPS)";"3.89999985694885";"m";
"32473.46218";"Average speed (GPS)";"0.863248158224038";"km/h";
"32473.46218";"Speed (GPS)";"0.0714276686310768";"km/h";
"32474.45718";"Altitude (GPS)";"5.82980346679688";"m";
"32474.45718";"Average speed (GPS)";"0.861532588095619";"km/h";
"32474.45718";"Speed (GPS)";"0";"km/h";
"32474.46218";"Altitude (GPS)";"3.89999985694885";"m";
"32474.46218";"Average speed (GPS)";"0.861525698355713";"km/h";
"32474.46218";"Speed (GPS)";"0.0232617057859898";"km/h";
"32474.99218";"Altitude (GPS)";"3.89999985694885";"m";
"32474.99218";"Altitude (GPS)";"3.89999985694885";"m";
"32474.99218";"Average speed (GPS)";"0.860614894788565";"km/h";
"32474.99218";"Average speed (GPS)";"0.860614407366536";"km/h";
"32474.99218";"Speed (GPS)";"0";"km/h";
"32474.99218";"Speed (GPS)";"0";"km/h";
"32475.45118";"Altitude (GPS)";"5.805908203125";"m";
"32475.45118";"Average speed (GPS)";"0.859827269050672";"km/h";
"32475.45118";"Speed (GPS)";"0";"km/h";
"32475.45518";"Altitude (GPS)";"3.89999985694885";"m";
"32475.45518";"Average speed (GPS)";"0.859946150769018";"km/h";
"32475.45518";"Speed (GPS)";"16.0000230789185";"km/h";
"32475.46218";"Altitude (GPS)";"3.89999985694885";"m";
"32475.46218";"Average speed (GPS)";"0.860147138374786";"km/h";
"32475.46218";"Speed (GPS)";"16.0000230789185";"km/h";
"32476.45018";"Altitude (GPS)";"5.79757690429688";"m";
"32476.45018";"Average speed (GPS)";"0.858456041556362";"km/h";
"32476.45018";"Speed (GPS)";"0";"km/h";
"32476.45318";"Altitude (GPS)";"3.89999985694885";"m";
"32476.45318";"Average speed (GPS)";"0.858518667106321";"km/h";
"32476.45318";"Speed (GPS)";"10.9206624984741";"km/h";
"32480.05018";"Altitude (GPS)";"3.89999985694885";"m";
"32480.05018";"Average speed (GPS)";"0.852422549556209";"km/h";
"32480.05018";"Speed (GPS)";"0";"km/h";
"32480.05318";"Altitude (GPS)";"3.89999985694885";"m";
"32480.05318";"Average speed (GPS)";"0.85241731894484";"km/h";
"32480.05318";"Speed (GPS)";"0";"km/h";
"32480.45218";"Altitude (GPS)";"5.75555419921875";"m";
"32480.45218";"Average speed (GPS)";"0.851746908710281";"km/h";
"32480.45218";"Speed (GPS)";"0";"km/h";
"32483.47318";"Altitude (GPS)";"3.89999985694885";"m";
"32483.47318";"Average speed (GPS)";"0.940310898010274";"km/h";
"32483.47318";"Speed (GPS)";"15.8007053375244";"km/h";
"32483.47418";"Altitude (GPS)";"3.89999985694885";"m";
"32483.47418";"Average speed (GPS)";"0.940354378267732";"km/h";
"32483.47418";"Speed (GPS)";"15.8007053375244";"km/h";
"32484.44418";"Altitude (GPS)";"5.73782348632813";"m";
"32484.44418";"Average speed (GPS)";"0.938569017570665";"km/h";
"32484.44418";"Speed (GPS)";"0";"km/h";
"32484.45018";"Altitude (GPS)";"3.89999985694885";"m";
"32484.45018";"Average speed (GPS)";"0.938706479275407";"km/h";
"32484.45018";"Speed (GPS)";"13.0117023468018";"km/h";
"32484.45118";"Altitude (GPS)";"3.89999985694885";"m";
"32484.45118";"Average speed (GPS)";"0.938734812491951";"km/h";
"32484.45118";"Speed (GPS)";"13.0117023468018";"km/h";
"32485.06918";"Altitude (GPS)";"3.89999985694885";"m";
"32485.06918";"Average speed (GPS)";"0.937600822905612";"km/h";
"32485.06918";"Speed (GPS)";"0";"km/h";
"32485.45218";"Altitude (GPS)";"5.7159423828125";"m";
"32485.45218";"Average speed (GPS)";"0.936899338206575";"km/h";
"32485.45218";"Speed (GPS)";"0";"km/h";
"32485.45818";"Altitude (GPS)";"3.89999985694885";"m";
"32485.45818";"Average speed (GPS)";"0.936956872311957";"km/h";
"32485.45818";"Speed (GPS)";"5.87772631645203";"km/h";
"32486.45018";"Altitude (GPS)";"5.71234130859375";"m";
"32486.45018";"Average speed (GPS)";"0.935145246048237";"km/h";
"32486.45018";"Speed (GPS)";"0";"km/h";
"32486.45718";"Altitude (GPS)";"3.89999985694885";"m";
"32486.45718";"Average speed (GPS)";"0.935159167325674";"km/h";
"32486.45718";"Speed (GPS)";"1.97102794647217";"km/h";
"32487.45718";"Altitude (GPS)";"5.70556640625";"m";
"32487.45718";"Average speed (GPS)";"0.933338820498997";"km/h";
"32487.45718";"Speed (GPS)";"0";"km/h";
"32487.46118";"Altitude (GPS)";"3.89999985694885";"m";
"32487.46118";"Average speed (GPS)";"0.933334042083661";"km/h";
"32487.46118";"Speed (GPS)";"0.343595990538597";"km/h";
"32487.46218";"Altitude (GPS)";"3.89999985694885";"m";
"32487.46218";"Average speed (GPS)";"0.933333593393979";"km/h";
"32487.46218";"Speed (GPS)";"0.343595990538597";"km/h";
"32488.45018";"Altitude (GPS)";"5.70266723632813";"m";
"32488.45018";"Average speed (GPS)";"0.931542326687018";"km/h";
"32488.45018";"Speed (GPS)";"0";"km/h";
"32488.46818";"Altitude (GPS)";"3.89999985694885";"m";
"32488.46818";"Average speed (GPS)";"0.931514912178737";"km/h";
"32488.46818";"Speed (GPS)";"0.147479666769505";"km/h";
"32489.45518";"Altitude (GPS)";"5.69790649414063";"m";
"32489.45518";"Average speed (GPS)";"0.929731976130652";"km/h";
"32489.45518";"Speed (GPS)";"0";"km/h";
"32489.45918";"Altitude (GPS)";"3.89999985694885";"m";
"32489.45918";"Average speed (GPS)";"0.929726223032258";"km/h";
"32489.45918";"Speed (GPS)";"0.196871083974838";"km/h";
"32490.07218";"Altitude (GPS)";"3.89999985694885";"m";
"32490.07218";"Average speed (GPS)";"0.928622900661637";"km/h";
"32490.07218";"Speed (GPS)";"0";"km/h";
"32490.07318";"Altitude (GPS)";"3.89999985694885";"m";
"32490.07318";"Average speed (GPS)";"0.928622449406207";"km/h";
"32490.07318";"Speed (GPS)";"0";"km/h";
"32490.45818";"Altitude (GPS)";"5.67337036132813";"m";
"32490.45818";"Average speed (GPS)";"0.927929414715972";"km/h";
"32490.45818";"Speed (GPS)";"0";"km/h";
"32490.46518";"Altitude (GPS)";"3.89999985694885";"m";
"32490.46518";"Average speed (GPS)";"0.927924482722109";"km/h";
"32490.46518";"Speed (GPS)";"0.567228841781616";"km/h";
"32491.45318";"Altitude (GPS)";"5.66781616210938";"m";
"32491.45318";"Average speed (GPS)";"0.926155310250279";"km/h";
"32491.45318";"Speed (GPS)";"0";"km/h";
"32491.45818";"Altitude (GPS)";"3.89999985694885";"m";
"32491.45818";"Average speed (GPS)";"0.926150660051025";"km/h";
"32491.45818";"Speed (GPS)";"0.479330813884735";"km/h";
"32492.45118";"Altitude (GPS)";"5.66632080078125";"m";
"32492.45118";"Average speed (GPS)";"0.924379305294734";"km/h";
"32492.45118";"Speed (GPS)";"0";"km/h";
"32492.46118";"Altitude (GPS)";"3.89999985694885";"m";
"32492.46118";"Average speed (GPS)";"0.924365919551771";"km/h";
"32492.46118";"Speed (GPS)";"0.266049841046333";"km/h";
"32493.45518";"Average speed (GPS)";"0.922599635747645";"km/h";
"32493.45518";"Speed (GPS)";"0";"km/h";
"32493.45918";"Altitude (GPS)";"5.66140747070313";"m";
"32493.47218";"Altitude (GPS)";"3.89999985694885";"m";
"32493.47218";"Average speed (GPS)";"0.922572812658439";"km/h";
"32493.47218";"Speed (GPS)";"0.114372691512108";"km/h";
"32494.45618";"Altitude (GPS)";"5.65521240234375";"m";
"32494.45618";"Average speed (GPS)";"0.920830584134049";"km/h";
"32494.45618";"Speed (GPS)";"0";"km/h";
"32494.46118";"Altitude (GPS)";"3.89999985694885";"m";
"32494.46118";"Average speed (GPS)";"0.92082235676118";"km/h";
"32494.46118";"Speed (GPS)";"0.103253057599068";"km/h";
"32495.05618";"Altitude (GPS)";"3.89999985694885";"m";
"32495.05618";"Average speed (GPS)";"0.919771703931309";"km/h";
"32495.05618";"Speed (GPS)";"0";"km/h";
"32495.44418";"Altitude (GPS)";"5.63156127929688";"m";
"32495.44418";"Average speed (GPS)";"0.919087662340874";"km/h";
"32495.44418";"Speed (GPS)";"0";"km/h";
"32495.44818";"Altitude (GPS)";"3.89999985694885";"m";
"32495.44818";"Average speed (GPS)";"0.919087377082551";"km/h";
"32495.44818";"Speed (GPS)";"0.88518278002739";"km/h";
"32506.21018";"Altitude (GPS)";"3.89999985694885";"m";
"32506.21018";"Average speed (GPS)";"0.900518102701291";"km/h";
"32506.21018";"Speed (GPS)";"0";"km/h";
"32508.46018";"Altitude (GPS)";"5.579833984375";"m";
"32508.46018";"Altitude (GPS)";"5.579833984375";"m";
"32508.46018";"Average speed (GPS)";"0.896731413999188";"km/h";
"32508.46018";"Average speed (GPS)";"0.896731028424726";"km/h";
"32508.46018";"Speed (GPS)";"0";"km/h";
"32508.46018";"Speed (GPS)";"0";"km/h";
"32508.47218";"Altitude (GPS)";"3.89999985694885";"m";
"32508.47218";"Average speed (GPS)";"0.896753025018264";"km/h";
"32508.47218";"Speed (GPS)";"1.84610202312469";"km/h";
"32509.56818";"Average speed (GPS)";"0.8949191601935";"km/h";
"32509.56818";"Speed (GPS)";"0";"km/h";
"32509.56918";"Altitude (GPS)";"5.57986450195313";"m";
"32509.57018";"Altitude (GPS)";"3.89999985694885";"m";
"32509.57018";"Average speed (GPS)";"0.894926530581949";"km/h";
"32509.57018";"Speed (GPS)";"2.91780223846436";"km/h";
"32510.45018";"Altitude (GPS)";"5.57870483398438";"m";
"32510.45018";"Average speed (GPS)";"0.893459982991043";"km/h";
"32510.45018";"Speed (GPS)";"0";"km/h";
"32510.45618";"Altitude (GPS)";"3.89999985694885";"m";
"32510.45618";"Average speed (GPS)";"0.893457123767582";"km/h";
"32510.45618";"Speed (GPS)";"0.601275461912155";"km/h";
"32511.44918";"Altitude (GPS)";"5.57882690429688";"m";
"32511.44918";"Average speed (GPS)";"0.891807660295843";"km/h";
"32511.44918";"Speed (GPS)";"0";"km/h";
"32511.45518";"Altitude (GPS)";"3.89999985694885";"m";
"32511.45518";"Average speed (GPS)";"0.891807020564023";"km/h";
"32511.45518";"Speed (GPS)";"0.833934187889099";"km/h";
"32512.44918";"Altitude (GPS)";"3.89999985694885";"m";
"32512.44918";"Average speed (GPS)";"0.890161769149843";"km/h";
"32512.44918";"Speed (GPS)";"0";"km/h";
"32512.45118";"Altitude (GPS)";"5.57794189453125";"m";
"32512.45118";"Average speed (GPS)";"0.890158762862988";"km/h";
"32512.45118";"Speed (GPS)";"0";"km/h";
"32512.45418";"Altitude (GPS)";"3.89999985694885";"m";
"32512.45418";"Average speed (GPS)";"0.890155910413754";"km/h";
"32512.45418";"Speed (GPS)";"0.498015350103378";"km/h";
"32513.44918";"Altitude (GPS)";"5.56829833984375";"m";
"32513.44918";"Average speed (GPS)";"0.888516516126748";"km/h";
"32513.44918";"Speed (GPS)";"0";"km/h";
"32513.45518";"Altitude (GPS)";"3.89999985694885";"m";
"32513.45518";"Average speed (GPS)";"0.888672562422252";"km/h";
"32513.45518";"Speed (GPS)";"15.3994297027588";"km/h";
"32519.84918";"Altitude (GPS)";"3.89999985694885";"m";
"32519.84918";"Average speed (GPS)";"0.87827037848304";"km/h";
"32519.84918";"Speed (GPS)";"0";"km/h";
"32520.45418";"Altitude (GPS)";"5.53866577148438";"m";
"32520.45418";"Average speed (GPS)";"0.877299650998886";"km/h";
"32520.45418";"Speed (GPS)";"0";"km/h";
"32524.82918";"Altitude (GPS)";"3.89999985694885";"m";
"32524.82918";"Average speed (GPS)";"0.870337012746947";"km/h";
"32524.82918";"Speed (GPS)";"0";"km/h";
"32525.44918";"Altitude (GPS)";"5.53579711914063";"m";
"32525.44918";"Average speed (GPS)";"0.869359532949236";"km/h";
"32525.44918";"Speed (GPS)";"0";"km/h";
"32534.29718";"Altitude (GPS)";"3.89999985694885";"m";
"32534.29718";"Average speed (GPS)";"0.855641321195935";"km/h";
"32534.29718";"Speed (GPS)";"0";"km/h";
"32534.44518";"Altitude (GPS)";"5.512451171875";"m";
"32534.44518";"Average speed (GPS)";"0.855415886010645";"km/h";
"32534.44518";"Speed (GPS)";"0";"km/h";
"32534.74218";"Average speed (GPS)";"0.854962369053847";"km/h";
"32534.74218";"Speed (GPS)";"0";"km/h";
"32534.74318";"Altitude (GPS)";"2.59999990463257";"m";
"32534.74418";"Altitude (GPS)";"2.59999990463257";"m";
"32534.74418";"Average speed (GPS)";"0.854960748084806";"km/h";
"32534.74418";"Speed (GPS)";"0";"km/h";
"32535.45318";"Altitude (GPS)";"5.5133056640625";"m";
"32535.45318";"Average speed (GPS)";"0.853881034178241";"km/h";
"32535.45318";"Speed (GPS)";"0";"km/h";
"32542.15018";"Average speed (GPS)";"0.843823567035093";"km/h";
"32542.15018";"Speed (GPS)";"0";"km/h";
"32542.15118";"Altitude (GPS)";"3.89999985694885";"m";
"32542.15118";"Altitude (GPS)";"3.89999985694885";"m";
"32542.15118";"Average speed (GPS)";"0.843822744882258";"km/h";
"32542.15118";"Speed (GPS)";"0";"km/h";
"32542.45218";"Altitude (GPS)";"5.48919677734375";"m";
"32542.45218";"Average speed (GPS)";"0.843375701456893";"km/h";
"32542.45218";"Speed (GPS)";"0";"km/h";
"32547.17918";"Altitude (GPS)";"3.89999985694885";"m";
"32547.17918";"Altitude (GPS)";"3.89999985694885";"m";
"32547.17918";"Average speed (GPS)";"0.836426313734037";"km/h";
"32547.17918";"Average speed (GPS)";"0.83642598128126";"km/h";
"32547.17918";"Speed (GPS)";"0";"km/h";
"32547.17918";"Speed (GPS)";"0";"km/h";
"32547.45318";"Altitude (GPS)";"5.47091674804688";"m";
"32547.45318";"Average speed (GPS)";"0.83602669804611";"km/h";
"32547.45318";"Speed (GPS)";"0";"km/h";
